         9712416 function calls (9098865 primitive calls) in 55.903 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400    1.177    0.003    1.810    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\utils\loop.py:585(add_remaining_self_loops)
     1940    0.400    0.000    1.708    0.001 {built-in method builtins.print}
      251    0.001    0.000    1.374    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\util\_decorators.py:325(wrapper)
    24321    0.005    0.000    1.269    0.000 {built-in method builtins.iter}
     1660    0.001    0.000    1.266    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\backend\tensorflow\trainer.py:728(__next__)
     1660    0.002    0.000    1.264    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\trainers\epoch_iterator.py:96(_enumerate_iterator)
      110    0.001    0.000    1.263    0.011 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\ops\dataset_ops.py:488(__iter__)
      110    0.000    0.000    1.259    0.011 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\ops\iterator_ops.py:670(__init__)
      110    0.002    0.000    1.258    0.011 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\ops\iterator_ops.py:713(_create_iterator)
      110    0.000    0.000    1.241    0.011 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:3490(make_iterator)
      200    0.001    0.000    1.239    0.006 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\frame.py:1204(__repr__)
      200    0.003    0.000    1.218    0.006 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\frame.py:1310(to_string)
      200    0.002    0.000    1.180    0.006 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:939(to_string)
      200    0.000    0.000    1.173    0.006 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\string.py:28(to_string)
      200    0.002    0.000    1.172    0.006 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\string.py:40(_get_string_representation)
      200    0.002    0.000    1.043    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\src\cnn\fibro_cnn.py:24(forward)
      200    0.000    0.000    1.031    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torchvision\models\resnet.py:284(forward)
      200    0.005    0.000    1.031    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torchvision\models\resnet.py:266(_forward_impl)
 1400/800    0.004    0.000    0.918    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\container.py:248(forward)
     1600    0.025    0.000    0.909    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torchvision\models\resnet.py:89(forward)
      200    0.003    0.000    0.819    0.004 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\pool\connect\filter_edges.py:48(forward)
      200    0.774    0.004    0.805    0.004 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\nn\pool\connect\filter_edges.py:11(filter_adj)
      200    0.008    0.000    0.794    0.004 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\string.py:153(_fit_strcols_to_terminal_width)
     4000    0.005    0.000    0.777    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\conv.py:553(forward)
     4000    0.006    0.000    0.769    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\conv.py:536(_conv_forward)
     4000    0.764    0.000    0.764    0.000 {built-in method torch.conv2d}
     1605    0.007    0.000    0.751    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\polymorphic_function\concrete_function.py:1267(_call_flat)
     1605    0.004    0.000    0.734    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\polymorphic_function\atomic_function.py:214(call_preflattened)
1238520/1202550    0.245    0.000    0.731    0.000 {built-in method builtins.isinstance}
     1605    0.028    0.000    0.723    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\polymorphic_function\atomic_function.py:219(call_flat)
      400    0.001    0.000    0.709    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\string.py:34(_get_strcols)
      400    0.001    0.000    0.707    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:472(get_strcols)
      400    0.015    0.000    0.680    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:704(_get_strcols_without_index)
     1605    0.009    0.000    0.661    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\context.py:1675(call_function)
      200    0.004    0.000    0.651    0.003 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\parsers\readers.py:868(read_csv)
     1605    0.003    0.000    0.646    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\execute.py:28(quick_execute)
      200    0.004    0.000    0.644    0.003 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\parsers\readers.py:583(_read)
     1605    0.641    0.000    0.641    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
      400    0.605    0.002    0.605    0.002 {built-in method torch.cat}
      201    0.061    0.000    0.560    0.003 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\src\main.py:33(create_graph_edges)
     30/6    0.018    0.001    0.545    0.091 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\serialization.py:1794(persistent_load)
     1605    0.003    0.000    0.511    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\keras\src\backend\tensorflow\trainer.py:533(get_data)
     1605    0.002    0.000    0.507    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\ops\iterator_ops.py:824(__next__)
     1605    0.018    0.000    0.505    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\ops\iterator_ops.py:756(_next_internal)
     1600    0.009    0.000    0.498    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:751(format_col)
        5    0.001    0.000    0.435    0.087 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torchvision\models\resnet.py:167(__init__)
      201    0.229    0.001    0.421    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch_geometric\utils\sparse.py:14(dense_to_sparse)
4286/3886    0.043    0.000    0.414    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\series.py:389(__init__)
     2202    0.015    0.000    0.388    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:1079(format_array)
        2    0.000    0.000    0.380    0.190 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\pyplot.py:872(figure)
        2    0.000    0.000    0.380    0.190 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\pyplot.py:549(new_figure_manager)
      200    0.002    0.000    0.356    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\parsers\readers.py:1575(__init__)
     6169    0.010    0.000    0.355    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\constant_tensor_conversion.py:23(_constant_tensor_conversion_function)
      200    0.003    0.000    0.345    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\parsers\readers.py:1848(_make_engine)
     2202    0.004    0.000    0.341    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:1193(get_result)
      739    0.005    0.000    0.340    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backends\_backend_tk.py:296(motion_notify_event)
      293    0.329    0.001    0.330    0.001 {built-in method _io.open}
        2    0.000    0.000    0.330    0.165 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backend_bases.py:3494(new_figure_manager)
        2    0.000    0.000    0.328    0.164 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backend_bases.py:3503(new_figure_manager_given_figure)
        2    0.000    0.000    0.328    0.164 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backend_bases.py:1772(new_manager)
        2    0.000    0.000    0.328    0.164 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backends\_backend_tk.py:500(create_with_canvas)
      250    0.004    0.000    0.313    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\common.py:664(get_handle)
     1940    0.006    0.000    0.296    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\function_cache.py:43(lookup)
     1221    0.008    0.000    0.282    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\tensor.py:1008(placeholder_value)
      200    0.003    0.000    0.276    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\parsers\readers.py:1907(read)
        4    0.000    0.000    0.271    0.068 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\seaborn\distributions.py:1358(histplot)
       55    0.000    0.000    0.269    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\math_ops.py:1962(range)
       55    0.001    0.000    0.260    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\gen_math_ops.py:8794(_range)
127106/127026    0.027    0.000    0.254    0.000 <frozen abc>:117(__instancecheck__)
     1770    0.003    0.000    0.244    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\util\structure.py:232(from_compatible_tensor_list)
     1770    0.011    0.000    0.241    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\util\structure.py:197(_from_tensor_list_helper)
     2441    0.064    0.000    0.234    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:995(_create_c_op)
127106/127026    0.053    0.000    0.227    0.000 {built-in method _abc._abc_instancecheck}
        4    0.001    0.000    0.226    0.057 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\seaborn\distributions.py:376(plot_univariate_histogram)
     1501    0.005    0.000    0.224    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:1471(_format_strings)
  671/221    0.006    0.000    0.223    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\sklearn\utils\_param_validation.py:185(wrapper)
     1501    0.024    0.000    0.219    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:1343(get_result_as_array)
     1940    0.005    0.000    0.216    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\eager\polymorphic_function\function_type_utils.py:362(make_canonicalized_monomorphic_type)
      396    0.003    0.000    0.214    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\tensor.py:1049(_graph_placeholder)
      100    0.000    0.000    0.213    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\init.py:521(kaiming_normal_)
     1940    0.014    0.000    0.211    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:531(canonicalize_to_monomorphic)
      100    0.211    0.002    0.211    0.002 {method 'normal_' of 'torch._C.TensorBase' objects}
     1769    0.005    0.000    0.208    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\type_dispatch.py:75(dispatch)
       20    0.000    0.000    0.206    0.010 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torchvision\models\resnet.py:225(_make_layer)
      762    0.002    0.000    0.203    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\ops.py:277(_create_graph_constant)
       40    0.000    0.000    0.197    0.005 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torchvision\models\resnet.py:62(__init__)
     1200    0.003    0.000    0.195    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\strings\accessor.py:3048(len)
     2088    0.009    0.000    0.192    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\indexing.py:1176(__getitem__)
      165    0.002    0.000    0.190    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\util\structure.py:70(normalize_element)
      289    0.003    0.000    0.190    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\frame.py:694(__init__)
      100    0.000    0.000    0.188    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\conv.py:502(__init__)
     3012    0.002    0.000    0.187    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\util\nest_util.py:729(pack_sequence_as)
      201    0.187    0.001    0.187    0.001 {method 'nonzero' of 'torch._C.TensorBase' objects}
      100    0.001    0.000    0.186    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\conv.py:86(__init__)
        2    0.000    0.000    0.186    0.093 C:\Users\ompar\anaconda3\Lib\tkinter\__init__.py:2326(__init__)
        2    0.185    0.092    0.185    0.092 {built-in method _tkinter.create}
     6349    0.036    0.000    0.182    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
      120    0.001    0.000    0.182    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\init.py:456(kaiming_uniform_)
       80    0.000    0.000    0.182    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torchvision\models\resnet.py:40(conv3x3)
     1605    0.003    0.000    0.182    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\ops\gen_dataset_ops.py:3092(iterator_get_next)
      215    0.180    0.001    0.180    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
  880/550    0.001    0.000    0.179    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\util\structure.py:443(type_spec_from_value)
      880    0.002    0.000    0.178    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\framework\type_spec.py:1007(_type_spec_from_value)
2529/2523    0.006    0.000    0.177    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\cbook.py:348(process)
7455/3674    0.164    0.000    0.175    0.000 <frozen abc>:121(__subclasscheck__)
      751    0.002    0.000    0.175    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backend_bases.py:1187(_process)
7455/3674    0.010    0.000    0.174    0.000 {built-in method _abc._abc_subclasscheck}
      100    0.000    0.000    0.174    0.002 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\torch\nn\modules\conv.py:178(reset_parameters)
      212    0.004    0.000    0.171    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
     1990    0.002    0.000    0.167    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\python\data\util\nest.py:69(pack_sequence_as)
     1501    0.006    0.000    0.166    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\pandas\io\formats\format.py:1397(format_values_with)
      172    0.001    0.000    0.166    0.001 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:342(placeholder_arguments)
      739    0.001    0.000    0.164    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\matplotlib\backend_bases.py:2951(mouse_move)
     8686    0.019    0.000    0.164    0.000 C:\Users\ompar\Downloads\ISEF\fibromyalgia-diagnostic-tool\cleaned-repo\gan-cnn-project\venv\Lib\site-packages\tensorflow\core\function\polymorphism\function_type.py:455(__hash__)
